Date,Close,pred_no_sent,pred_with_sent
2023-01-13,115.02677154541016,118.92140019138765,255.26869156434586
2023-01-16,114.93684387207031,115.30715049389411,244.46336222863988
2023-01-17,113.8726577758789,114.17576567686335,240.80110465272284
2023-01-18,114.8419189453125,113.86575238003438,237.3120726999606
2023-01-19,114.84690856933594,113.48342849856631,233.6939475942625
2023-01-20,114.45720672607422,112.44941117290715,229.88077759704228
2023-01-23,114.06751251220703,110.32481961133023,219.11182524608594
2023-01-24,120.94723510742188,109.88280080488084,215.57900877029505
2023-01-25,120.20780181884766,110.35289162913077,212.2575651927632
2023-01-27,106.443359375,110.63577041805026,205.31637767658077
2023-01-30,105.72390747070312,111.20545880814052,195.49860381069476
2023-01-31,108.5517349243164,111.6417838612468,192.3233980301302
2023-02-01,105.17433166503906,112.97224588586923,189.3600175724644
2023-02-02,102.19161224365234,114.23568699081846,186.33483386179904
2023-02-03,109.92568969726562,114.80016312348882,183.1821460130527
2023-02-06,112.76850891113281,117.14764823216409,174.48654918095383
2023-02-07,114.20240783691406,118.01447564779262,171.67243989412
2023-02-08,113.6628189086914,119.70734687699373,169.0486102284147
2023-02-09,113.60785675048828,121.24650879278931,166.35935217827083
2023-02-10,118.16436767578125,121.99047881864345,163.54288095472177
2023-02-13,121.41187286376953,124.46101363500281,155.7403553496839
2023-02-14,118.68895721435547,125.25542409515437,153.19693715333918
2023-02-15,122.7308578491211,126.85169027934064,150.81911153452918
2023-02-16,127.3772964477539,128.26100811214218,148.3710827175642
2023-02-17,132.3385009765625,128.84011563432946,145.796730771447
2023-02-20,129.62057495117188,128.63070415223217,149.03887440024184
2023-02-21,138.06410217285156,128.55575661555048,150.09868087674806
2023-02-22,133.51260375976562,129.30136407604238,151.29173008719428
2023-02-23,137.4895477294922,129.88469446474937,152.37976791754235
2023-02-24,133.59254455566406,129.68231870689075,153.29635606532966
2023-02-27,135.38116455078125,129.54630843314874,156.43087410696188
2023-02-28,139.20822143554688,129.57825661163258,157.45566536875864
2023-03-01,140.85696411132812,130.45057012291508,158.62658718076884
2023-03-02,140.7120819091797,131.19477305629684,159.68712135586907
2023-03-03,139.74781799316406,131.19384843832734,160.56664234890235
2023-03-06,140.8719482421875,131.73241781573432,163.64887326124773
2023-03-08,141.17172241210938,133.05679757161315,165.84830336112026
2023-03-09,141.38156127929688,133.97995431614382,166.91921167750024
2023-03-10,142.22592163085938,134.14747862189023,167.80465779301898
2023-03-13,140.64212036132812,134.9762314823399,170.99569558489947
2023-03-14,138.3289031982422,135.24830755002068,172.07135891594245
2023-03-15,137.9142303466797,136.27255114733873,173.33462526376331
2023-03-16,136.96994018554688,137.11272255148253,174.4927912805852
2023-03-17,139.41307067871094,137.17210726112808,175.4672050068002
2023-03-20,132.91305541992188,137.45751641408583,179.05348840902536
2023-03-21,131.79888916015625,137.49338203701828,180.2947130030645
2023-03-22,131.22434997558594,138.2476416420492,181.75293153450227
2023-03-23,133.59254455566406,138.8101571774935,183.11700926585277
2023-03-24,129.93533325195312,138.83983046372535,182.31387453102403
2023-03-27,132.40345764160156,139.07650894112885,180.72825401072208
2023-03-28,133.00299072265625,139.13137672730346,180.2821761393128
2023-03-29,134.8965301513672,139.92218107124506,180.0669197522902
2023-03-31,133.1328887939453,140.45928627046152,179.3059112643937
2023-04-03,135.70590209960938,140.51612472274806,178.74211303910045
2023-04-05,137.3446502685547,141.39185865975443,178.74382048879605
2023-04-06,141.98609924316406,142.07626669418474,178.76508139227232
2023-04-10,143.2751007080078,142.40473376461773,178.88289993034616
2023-04-11,141.75628662109375,142.557251797931,179.00949318598668
2023-04-12,144.9588165283203,143.44633456002128,179.32974084420613
2023-04-13,143.62484741210938,144.18474234404212,179.5349930687175
2023-04-17,144.3942413330078,144.43171274983638,180.08721636404601
2023-04-18,144.1894073486328,144.4590352560256,180.23846021412945
2023-04-19,143.12020874023438,145.16788335549876,180.54548510620134
2023-04-20,139.8677215576172,145.67879200250243,180.7050105954853
2023-04-21,140.39732360839844,145.42674498457893,180.637400163688
2023-04-24,141.50146484375,144.5794958652212,180.74803843925565
2023-04-25,137.92420959472656,144.17173995610028,180.69649223259654
2023-04-26,136.44033813476562,144.4098833125083,180.7723690681654
2023-04-27,138.7285919189453,144.43030328051756,180.68082351809403
2023-04-28,138.3988494873047,143.6814367119741,180.3470318854937
2023-05-02,139.67286682128906,140.472032923089,179.22065079945156
2023-05-03,142.69056701660156,140.26701481609467,178.99139210033343
2023-05-04,142.32083129882812,141.05210161560962,178.89110084710674
2023-05-05,146.83238220214844,141.1050506553596,178.5626605118069
2023-05-08,147.12216186523438,141.4212008617475,177.90566497005034
2023-05-09,147.81661987304688,141.53019094687673,177.63557217501034
2023-05-10,147.67672729492188,142.39631456512888,177.51962781446935
2023-05-11,146.80740356445312,143.14398438011295,177.27780403495825
2023-05-12,147.62677001953125,143.19603958000934,176.8428234305711
2023-05-15,146.2228546142578,143.93608874104555,176.0775564528606
2023-05-16,144.0994873046875,144.31540136347135,175.84462365396263
2023-05-17,145.213623046875,145.54237520021005,175.80034165728853
2023-05-18,144.6090850830078,146.69379539425353,175.66533808079717
2023-05-19,145.0037841796875,147.15849230423518,175.37078710760704
2023-05-22,144.9388427734375,149.3172962884813,175.18656782408152
2023-05-23,146.5126190185547,150.19442724190594,175.189452030341
2023-05-24,149.0306854248047,151.9493354099071,175.39350911875906
2023-05-25,149.77011108398438,153.60806457517424,175.51665415103776
2023-05-26,155.91041564941406,154.52369519410362,175.48556933821996
2023-05-29,159.57760620117188,157.82823415908084,176.059968035707
2023-05-30,166.5272674560547,158.99102692839475,176.28964364242668
2023-05-31,164.55377197265625,161.00846348539145,176.69829187793903
2023-06-01,165.9727020263672,162.8619888602343,177.00173002981282
